Ticker,Environmental,Governance,Social,ESG Score,Environmental Weight,Governance Weight ,Social weight,,,,,,,,,,,,,,,,,,,,
A UN Equity,3.00,6.42,8.20,17.62,0.17,0.36,0.47,,,,,,,,,,,,,,,,,,,,
AAPL UW Equity,5.65,7.72,4.91,18.27,0.31,0.42,0.27,,,,,,,,,,,,,,,,,,,,
ABBV UN Equity,6.78,7.00,3.44,17.22,0.39,0.41,0.20,,,,,,,,,,,,,,,,,,,,
ABNB UW Equity,3.06,5.79,1.61,10.46,0.29,0.55,0.15,,,,,,,,,,,,,,,,,,,,
ABT UN Equity,4.58,8.51,4.84,17.93,0.26,0.47,0.27,,,,,,,,,,,,,,,,,,,,
ACGL UW Equity,0.18,7.34,0.92,8.45,0.02,0.87,0.11,,,,,,,,,,,,,,,,,,,,
ACN UN Equity,7.47,8.00,2.51,17.98,0.42,0.44,0.14,,,,,,,,,,,,,,,,,,,,
ADBE UW Equity,7.39,7.31,4.69,19.39,0.38,0.38,0.24,,,,,,,,,,,,,,,,,,,,
ADI UW Equity,5.96,8.21,2.27,16.44,0.36,0.50,0.14,,,,,,,,,,,,,,,,,,,,
ADM UN Equity,3.15,7.01,3.65,13.82,0.23,0.51,0.26,,,,,,,,,,,,,,,,,,,,
ADP UW Equity,4.46,8.52,3.17,16.14,0.28,0.53,0.20,,,,,,,,,,,,,,,,,,,,
ADSK UW Equity,5.74,7.03,2.75,15.53,0.37,0.45,0.18,,,,,,,,,,,,,,,,,,,,
AEE UN Equity,4.73,8.07,3.32,16.13,0.29,0.50,0.21,,,,,,,,,,,,,,,,,,,,
AEP UW Equity,4.19,8.25,4.74,17.18,0.24,0.48,0.28,,,,,,,,,,,,,,,,,,,,
AES UN Equity,4.30,7.83,6.39,18.52,0.23,0.42,0.35,,,,,,,,,,,,,,,,,,,,
AFL UN Equity,0.75,6.96,5.01,12.72,0.06,0.55,0.39,,,,,,,,,,,,,,,,,,,,
AIG UN Equity,3.95,7.40,2.31,13.66,0.29,0.54,0.17,,,,,,,,,,,,,,,,,,,,
AIZ UN Equity,0.26,7.65,2.46,10.38,0.03,0.74,0.24,,,,,,,,,,,,,,,,,,,,
AJG UN Equity,3.73,6.94,2.83,13.50,0.28,0.51,0.21,,,,,,,,,,,,,,,,,,,,
AKAM UW Equity,3.60,7.06,2.59,13.25,0.27,0.53,0.20,,,,,,,,,,,,,,,,,,,,
ALB UN Equity,5.52,7.16,4.71,17.39,0.32,0.41,0.27,,,,,,,,,,,,,,,,,,,,
ALGN UW Equity,1.50,6.35,1.20,9.05,0.17,0.70,0.13,,,,,,,,,,,,,,,,,,,,
