date,ticker,name,price
2021-03-31,A UN Equity,Agilent Technologies Inc,127.14
2021-03-31,AAPL UW Equity,Apple Inc,122.15
2021-03-31,ABBV UN Equity,AbbVie Inc,108.22
2021-03-31,ABNB UW Equity,Airbnb Inc,187.94
2021-03-31,ABT UN Equity,Abbott Laboratories,119.84
2021-03-31,ACGL UW Equity,Arch Capital Group Ltd,38.37
2021-03-31,ACN UN Equity,Accenture PLC,276.25
2021-03-31,ADBE UW Equity,Adobe Inc,475.37
2021-03-31,ADI UW Equity,Analog Devices Inc,155.08
2021-03-31,ADM UN Equity,Archer-Daniels-Midland Co,57.0
2021-03-31,ADP UW Equity,Automatic Data Processing Inc,188.47
2021-03-31,ADSK UW Equity,Autodesk Inc,277.15
2021-03-31,AEE UN Equity,Ameren Corp,81.36
2021-03-31,AEP UW Equity,American Electric Power Co Inc,84.7
2021-03-31,AES UN Equity,AES Corp/The,26.81
2021-03-31,AFL UN Equity,Aflac Inc,51.18
2021-03-31,AIG UN Equity,American International Group I,46.21
2021-03-31,AIZ UN Equity,Assurant Inc,141.77
2021-03-31,AJG UN Equity,Arthur J Gallagher & Co,124.77
2021-03-31,AKAM UW Equity,Akamai Technologies Inc,101.9
2021-03-31,ALB UN Equity,Albemarle Corp,146.11
2021-03-31,ALGN UW Equity,Align Technology Inc,541.53
2021-03-31,ALL UN Equity,Allstate Corp/The,114.9
2021-03-31,ALLE UN Equity,Allegion plc,125.62
2021-03-31,AMAT UW Equity,Applied Materials Inc,133.6
2021-03-31,AMCR UN Equity,Amcor PLC,58.4
2021-03-31,AMD UW Equity,Advanced Micro Devices Inc,78.5
2021-03-31,AME UN Equity,AMETEK Inc,127.73
2021-03-31,AMGN UW Equity,Amgen Inc,248.81
2021-03-31,AMP UN Equity,Ameriprise Financial Inc,232.45
2021-03-31,AMT UN Equity,American Tower Corp,239.06
2021-03-31,AMZN UW Equity,Amazon.com Inc,154.704
2021-03-31,ANET UN Equity,Arista Networks Inc,18.8681
2021-03-31,AON UN Equity,Aon PLC,230.11
2021-03-31,AOS UN Equity,A O Smith Corp,67.61
2021-03-31,APA UW Equity,APA Corp,17.9
2021-03-31,APD UN Equity,Air Products and Chemicals Inc,281.34
2021-03-31,APH UN Equity,Amphenol Corp,32.985
2021-03-31,APO UN Equity,Apollo Global Management Inc,47.01
2021-03-31,APTV UN Equity,Aptiv PLC,116.8165
2021-03-31,ARE UN Equity,Alexandria Real Estate Equitie,164.3
2021-03-31,ARES UN Equity,Ares Management Corp,56.03
2021-03-31,ATO UN Equity,Atmos Energy Corp,98.85
2021-03-31,AVB UN Equity,AvalonBay Communities Inc,184.51
2021-03-31,AVGO UW Equity,Broadcom Inc,46.366
2021-03-31,AVY UN Equity,Avery Dennison Corp,183.65
2021-03-31,AWK UN Equity,American Water Works Co Inc,149.92
2021-03-31,AXON UW Equity,Axon Enterprise Inc,142.42
2021-03-31,AXP UN Equity,American Express Co,141.44
2021-03-31,AZO UN Equity,AutoZone Inc,1404.3
2021-03-31,BA UN Equity,Boeing Co/The,254.72
2021-03-31,BAC UN Equity,Bank of America Corp,38.69
2021-03-31,BALL UN Equity,Ball Corp,84.74
2021-03-31,BAX UN Equity,Baxter International Inc,84.34
2021-03-31,BBY UN Equity,Best Buy Co Inc,114.81
2021-03-31,BDX UN Equity,Becton Dickinson & Co,189.723
2021-03-31,BEN UN Equity,Franklin Resources Inc,29.6
2021-03-31,BF/B UN Equity,Brown-Forman Corp,68.97
2021-03-31,BG UN Equity,Bunge Global SA,79.27
